Betreiber,Straße,PLZ,Anmerkungen
Vattenfall,Friedrichstraße 191,10117 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlicher Parkplatz vor MINI Showroom
Nutzbarkeit: Rund um die Uhr"
Vattenfall,Leipziger Platz 19,10117 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
Contipark,Invalidenstr. 51,10557 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr (Schranke vorhanden)"
Gesundbrunnen-Center,Badstraße 4,13357 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Parkplatz im Parkhaus, Ebene A, Parkgebühren fallen ggf. an
Nutzbarkeit: Mo-Sa 8:00-21:00 Uhr, So + Feiertag geschlossen"
Q-Park,Alexanderstr. 2,10178 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Parkplatz im Parkhaus, Ebene -1, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
BeMobility,Caroline-Michaelis-Straße 2,10115 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
Gravis,Ernst-Reuter-Platz 9,10587 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlich zugänglicher Parkplatz
Nutzbarkeit: Mo-Fr 09:00-18:00 Uhr"
IHK Berlin,Fasanenstraße 85,10623 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
Messe Berlin GmbH,Hammarskjöldplatz 1,14055 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Ladesäule auf kostenfreiem Parkplatz des Funkturmrestaurants
Nutzbarkeit: Rund um die Uhr (Schranke vorhanden)"
IAV,Helmholtzstr. 41,10587 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
Vattenfall,Kurfürstendamm 31,10719 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier, öffentlicher Parkplatz vor BMW Showroom
Nutzbarkeit: Rund um die Uhr"
Vattenfall,Nürnberger Str. 12,10789 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier, öffentlicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
Contipark,Nürnberger Straße 5-7,10787 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Parkplatz vor Parkhaus auf Wendeplatz, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
TOTAL Deutschland GmbH,Holzmarktstraße 44,10243 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreier, öffentlich zugänglicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
Allee Center,Landsberger Allee 277,13055 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier Parkplatz im Parkhaus
Nutzbarkeit: Mo-Fr 8:00-20:30 Uhr, Sa 7:00-20:30 Uhr, So + Feiertag 
geschlossen"
IKEA,Landsberger Allee 364,10365 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlich zugänglicher Parkplatz – Ausschilderung zur 
Ladesäule vorhanden
Nutzbarkeit: Mo-Sa 10:00-21:00 Uhr"
Ring-Center,Frankfurter Allee 113,10365 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Parkplatz im Parkhaus, Parkgebühren fallen ggf. an
Nutzbarkeit: Mo-Sa 07:45-22:00 Uhr, So + Feiertag geschlossen"
TOTAL Deutschland GmbH,Indira-Gandhi-Str. 106-109,13053 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlich zugänglicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
EASTGATE Berlin,Marzahner Promenade 1A,12679 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Parkplatz im Parkhaus, Parkgebühren fallen ggf. an
Nutzbarkeit: Mo-Do 8:00-20:00 Uhr, Fr-Sa 8:00-21:00 Uhr, So geschlossen"
REWE,Groß-Ziethener Chaussee 33,12355 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Kostenfreie Parkplätze auf REWE Gelände
Nutzbarkeit: Rund um die Uhr"
TOTAL Deutschland GmbH,Margarete-Sommer-Str. 2,10407 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden
Kostenfreier, öffentlich zugänglicher Parkplatz
Nutzbarkeit: Rund um die Uhr"
REWE,Ostseestraße 23,10409 Berlin,"*Ladestation Express (16A/32A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 1 Parkplatz freigehalten
Kostenfreie Parkplätze auf REWE Gelände
Nutzbarkeit: Rund um die Uhr"
BeMobility,Christinenstraße 13,10119 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
BeMobility,Heinrich-Roller-Straße 21,10405 Berlin,"*Ladestation (16A/16A) Stecker: Typ2 & Schuko*
Ladepunkte: 2 vorhanden – 2 Parkplätze freigehalten
Ausgewiesene BeMobility Parkplätze, Parkgebühren fallen ggf. an
Nutzbarkeit: Rund um die Uhr"
