Betreiber,Adresse,Postleitzahl Ort,Längengrad [DG],Breitengrad [DG],Inbetriebnahmedatum,Anschlussleistung [kW],Art der Ladeeinrichtung,Anzahl Ladepunkte,Steckertypen 1,P1 [kW],Steckertypen 2,P2 [kW],Steckertypen 3,P3 [kW],Steckertypen 4,P4 [kW],
innogy SE,Boyenstr. 23,10115 Berlin,"13,368842","52,535955",7/14/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Anklamer Str. 8,10115 Berlin,"13,395824","52,534398",7/14/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Torstraße 165,10115 Berlin,"13,395841","52,529125",4/14/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Gartenstraße 13,10115 Berlin,"13,39135","52,530483",4/14/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Habersaathstr. 34,10115 Berlin,"13,37762","52,531847",12/21/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Kieler Str. 5,10115 Berlin,"13,370317","52,5343",1/26/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Borsigstr. 1,10115 Berlin,"13,391272","52,528091",3/13/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Anklamer Str. 12,10115 Berlin,"13,397123","52,534702",3/21/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
innogy SE,Schumannstr. 6,10117 Berlin,"13,380581","52,523719",7/14/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Planckstr. 4,10117 Berlin,"13,390248","52,51897",7/17/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Luisenstr. 31,10117 Berlin,"13,38025","52,51983",7/17/09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Behrensstraße 28,10117 Berlin,"13,389922","52,515846",4/14/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Krausenstraße 72,10117 Berlin,"13,389543","52,509467",7/13/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Neue Jüdenstraße 1,10117 Berlin,"13,41046","52,51579",9/13/10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Reinhardtstraße 32,10117 Berlin,"13,380966","52,522819",3/13/12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
innogy SE,Platz vor dem Neuen Tor ,10117 Berlin,"13,378846","52,528677",4/7/16,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,
Allego GmbH,Voßstr. 24,10117 Berlin,"13,378211","52,510907",5/18/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Leipziger Str. 59 in Jerusalemer Str .,10117 Berlin,"13,396763","52,511309",12/12/16,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Taubenstr. 14,10117 Berlin,"13,390118","52,512969",1/19/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Mauerstr. 32,10117 Berlin,"13,38431","52,515197",2/27/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
Allego GmbH,Dorotheenstr. 63,10117 Berlin,"13,387711","52,518608",7/12/17,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,
